100
-38	38
29	4
-97	68
-34	5
72	18
-10	12
96	21
-3	57
-63	85
-85	54
-61	3
-31	7
-29	73
97	32
33	85
-45	96
100	21
78	26
41	76
25	82
-74	58
96	93
-54	86
72	100
22	55
-88	29
-63	73
-87	22
-95	67
95	100
59	92
-32	21
-52	95
-85	28
-89	65
97	16
-89	87
55	14
-92	19
67	80
43	97
-97	23
38	76
-80	86
54	70
15	44
-91	48
47	90
33	74
95	26
-44	16
-41	94
-32	48
87	90
73	59
-27	29
38	2
70	30
27	95
70	39
42	21
-76	71
75	36
-50	92
11	64
-66	27
-63	84
-69	35
-91	97
80	49
-20	41
74	86
-1	75
-78	36
-89	61
44	14
-45	47
82	12
28	44
-50	32
-54	37
3	30
51	79
46	34
42	38
39	49
-26	88
23	58
-77	14
-2	19
63	80
62	15
-82	41
-87	48
75	32
-99	11
-19	18
-39	32
22	6
-5	40
